
x,y,T (degC),spf.U (m/s)
-0.55,-0.35,10.00244140625,54.986572265625
-0.5330852688351019,-0.35,9.986200385225345,63.26932645094842
-0.5162316782967719,-0.35,9.955064665940824,73.89455669641092
-0.4995638095762474,-0.35,9.906626417499524,78.83591711641594
-0.48304253971749833,-0.35,9.837972124908617,80.45229074621493
-0.4665212698587492,-0.35,9.743474014415199,80.91382288867003
-0.4500000000000002,-0.35,9.61726286754265,81.06388588737876
-0.43347873014125105,-0.35,9.445085553567537,81.16885547838378
-0.4169574602825019,-0.35,9.196297631076163,81.35440786798944
-0.4004361904237528,-0.35,8.80613402910194,81.81210586564343
-0.3837683217032285,-0.35,8.08289196548634,82.74915371110363
-0.36691473116489826,-0.35,6.30310649781012,83.56707432860581
-0.35,-0.35,0.0048828125,80.54927101081074
